ID,Fwy,Dir,Name,City,County,Type,Lanes,Length,MS ID,Abs PM,CA PM,Latitude,Longitude,Exact
716841,605,N,ARROW 1,Irwindale,Los Angeles,Mainline,4,0.426,4428,26.004,23.952,34.114458,-117.9780735,True
716842,605,N,ARROW WB,Irwindale,Los Angeles,On Ramp,1,,4429,26.204,24.152,34.1162977,-117.9759083,True
717958,605,N,ARROW 2,Irwindale,Los Angeles,Mainline,4,0.274,4429,26.204,24.152,34.1163632,-117.9761444,True
766922,605,N,ARROW  EB,Irwindale,Los Angeles,On Ramp,1,,4428,26.004,23.952,34.1145612,-117.9777329,True
767678,605,N,LIVE OAK,Irwindale,Los Angeles,Mainline,4,0.793,4432,25.352,23.3,34.1075646,-117.9817217,True
767679,605,N,LIVE OAK W/B,Irwindale,Los Angeles,Off Ramp,1,,4432,25.362,23.31,34.1075119,-117.9815656,True
767680,605,N,LIVE OAK E/B,Irwindale,Los Angeles,Off Ramp,1,,4432,25.352,23.3,34.1074725,-117.9814522,True
773795,605,N,ARROW HIGHWAY,Irwindale,Los Angeles,Mainline,4,0.424,2152,26.552,24.5,34.1209485,-117.9696833,True
773807,605,N,ROUTE 605/ ROUTE 210,Irwindale,Los Angeles,Mainline,4,1.25,2443,27.052,25,34.1263508,-117.9640247,True
