ID,Fwy,Dir,Name,City,County,Type,Lanes,Length,MS ID,Abs PM,CA PM,Latitude,Longitude,Exact
773907,134,E,W/O RIVERSIDE,Los Angeles,Los Angeles,HOV,1,0.155,2523,4.8,4.8,34.155227,-118.294082,False
773916,134,E,RTE 5 SB,Los Angeles,Los Angeles,Mainline,3,0.35,2394,5.5,R5.5,34.152202,-118.282684,False
773917,134,E,RTE 5 SB,Los Angeles,Los Angeles,Fwy-Fwy,2,,2394,5.5,R5.5,34.152202,-118.282684,False
773927,134,E,RTE 5 / ZOO DR,Los Angeles,Los Angeles,Mainline,4,0.3,2395,5.7,R5.7,34.152895,-118.279266,False
773928,134,E,RTE 5 / ZOO DR,Los Angeles,Los Angeles,On Ramp,1,,2395,5.7,R5.7,34.152895,-118.279266,False
773953,134,E,W/O VICTORY,Los Angeles,Los Angeles,Mainline,4,0.35,2004,5.0,5,34.155081,-118.290573,False
773955,134,E,W/O VICTORY,Los Angeles,Los Angeles,HOV,1,0.65,2004,5.0,5,34.155081,-118.290573,False
773974,134,E,OAKVIEW,Los Angeles,Los Angeles,Mainline,4,0.335,2396,9.23,R9.23,34.145484,-118.221919,False
773976,134,E,OAKVIEW,Los Angeles,Los Angeles,HOV,1,0.335,2396,9.23,R9.23,34.145484,-118.221919,False
773978,134,E,OAKVIEW,Los Angeles,Los Angeles,Fwy-Fwy,2,,2396,9.23,R9.23,34.145484,-118.221919,False
773995,134,E,FM 2 NB TO 134 EB,Los Angeles,Los Angeles,Mainline,5,0.715,2397,9.59,R9.59,34.144881,-118.215655,False
773997,134,E,FM 2 NB TO 134 EB,Los Angeles,Los Angeles,HOV,1,0.715,2397,9.59,R9.59,34.144881,-118.215655,False
774011,134,E,TOWNSEND,Los Angeles,Los Angeles,Mainline,4,0.965,2225,10.66,R10.66,34.147884,-118.197557,False
774013,134,E,TOWNSEND,Los Angeles,Los Angeles,HOV,1,0.965,2225,10.66,R10.66,34.147884,-118.197557,False
774031,134,E,COLORADO,Los Angeles,Los Angeles,Mainline,4,0.465,4200,11.64,R11.64,34.1416939,-118.1830591,True
774033,134,E,COLORADO,Los Angeles,Los Angeles,HOV,1,0.465,4200,11.64,R11.64,34.1417472,-118.183035,True
774035,134,E,COLORADO,Los Angeles,Los Angeles,On Ramp,1,,4200,11.64,R11.64,34.1409947,-118.1854195,True
774054,134,E,FM 2 SB TO 134,Glendale,Los Angeles,Mainline,4,0.47,2402,8.42,R8.42,34.15068,-118.234471,False
774056,134,E,FM 2 SB TO 134,Glendale,Los Angeles,HOV,1,0.47,2402,8.42,R8.42,34.15068,-118.234471,False
774058,134,E,FM 2 SB TO 134,Glendale,Los Angeles,Fwy-Fwy,2,,2402,8.42,R8.42,34.15068,-118.234471,False
774078,134,E,170 S - 134 E,Los Angeles,Los Angeles,Fwy-Fwy,2,,2393,0.0,0,34.153163,-118.376417,False
774079,134,E,101 S - 134 E,Los Angeles,Los Angeles,Fwy-Fwy,2,,2393,0.0,0,34.153163,-118.376417,False
774080,134,E,RTE 170 / RTE 101,Los Angeles,Los Angeles,Off Ramp,2,,2393,0.0,0,34.153163,-118.376417,False
